"","Gene","Ensembl ID","Probesets","cell_type","dx_deg","layer_marker","NA"
"175","MT-ND2","ENSG00000198763",4,NA,NA,"Layer marker",NA
"176","MT-ND4","ENSG00000198886",4,NA,NA,"Layer marker",NA
"177","MT-ND4L","ENSG00000212907",3,NA,NA,"Layer marker",NA
"178","MT-ND5","ENSG00000198786",8,NA,NA,"Layer marker",NA
"179","MT-ND6","ENSG00000198695",7,NA,NA,"Layer marker",NA
"180","MT1E","ENSG00000169715",5,NA,"Dx_DEG_Up",NA,NA
"181","MT1M","ENSG00000205364",2,NA,"Dx_DEG_Up",NA,NA
"182","MT1X","ENSG00000187193",4,NA,"Dx_DEG_Up",NA,NA
"183","MT2A","ENSG00000125148",5,NA,"Dx_DEG_Up",NA,NA
"184","MTRNR2L1","ENSG00000256618",8,NA,"Dx_DEG_Up",NA,NA
"185","MTRNR2L12","ENSG00000269028",8,NA,NA,"Layer marker",NA
"186","MTURN","ENSG00000180354",8,NA,NA,"Layer marker",NA
"187","MYL6","ENSG00000092841",8,NA,"Dx_DEG_Down",NA,NA
"188","MYL9","ENSG00000101335",8,NA,NA,"Layer marker",NA
"189","NDUFB2","ENSG00000090266",8,NA,"Dx_DEG_Down",NA,NA
"190","NDUFB9","ENSG00000147684",8,NA,"Dx_DEG_Down",NA,NA
"191","NEFH","ENSG00000100285",8,NA,NA,"Layer marker",NA
"192","NEFL","ENSG00000277586",8,NA,NA,"Layer marker",NA
"193","NEFM","ENSG00000104722",8,NA,NA,"Layer marker",NA
"194","NORAD","ENSG00000260032",8,NA,"Dx_DEG_Up",NA,NA
"195","NOS1","ENSG00000089250",8,"In",NA,NA,NA
"196","NOTCH1","ENSG00000148400",8,"Endo",NA,NA,NA
"197","NPIPA1","ENSG00000183426",8,NA,"Dx_DEG_Up",NA,NA
"198","NPTX1","ENSG00000171246",8,NA,NA,"Layer marker",NA
"199","NPTX2","ENSG00000106236",8,"In (EI balance)","Dx_DEG_Down",NA,NA
"200","NPY","ENSG00000122585",6,"In",NA,NA,NA
"201","NR4A2","ENSG00000153234",8,"Ex",NA,NA,NA
"202","NRG1","ENSG00000157168",8,NA,NA,NA,"Literature"
"203","NRXN1","ENSG00000179915",3,NA,NA,NA,"Literature"
"204","NTRK2","ENSG00000148053",8,"BDNF",NA,NA,NA
"205","NUDT14","ENSG00000183828",5,NA,"Dx_DEG_Down",NA,NA
"206","NUPR1","ENSG00000176046",8,NA,"Dx_DEG_Up",NA,NA
"207","NXPH4","ENSG00000182379",8,NA,NA,"Layer marker",NA
"208","OGA","ENSG00000198408",8,NA,"Dx_DEG_Up",NA,NA
"209","OLFML3","ENSG00000116774",8,NA,"Dx_DEG_Down",NA,NA
"210","OLR1","ENSG00000173391",8,NA,"Dx_DEG_Down",NA,NA
"211","OSBPL1A","ENSG00000141447",8,NA,"Dx_DEG_Down",NA,NA
"212","OTOS","ENSG00000178602",5,NA,"Dx_DEG_Up",NA,NA
"213","P2RY12","ENSG00000169313",8,"Mic","Dx_DEG_Down",NA,NA
"214","P2RY13","ENSG00000181631",8,"Mic","Dx_DEG_Down",NA,NA
"215","PAQR6","ENSG00000160781",8,NA,NA,"Layer marker",NA
"216","PCP4","ENSG00000183036",7,"Ex",NA,"Layer marker",NA
"217","PDXK","ENSG00000160209",8,NA,"Dx_DEG_Up",NA,NA
"218","PECAM1","ENSG00000261371",8,"Endo",NA,NA,NA
"219","PFN1","ENSG00000108518",8,NA,"Dx_DEG_Down",NA,NA
"220","PLAAT3","ENSG00000176485",8,NA,NA,"Layer marker",NA
"221","PLD4","ENSG00000166428",8,NA,"Dx_DEG_Down",NA,NA
"222","PLEC","ENSG00000178209",8,NA,"Dx_DEG_Up",NA,NA
"223","PLP1","ENSG00000123560",3,"Oligo","Dx_DEG_Down","Layer marker",NA
"224","PMP22","ENSG00000109099",8,NA,NA,"Layer marker",NA
"225","PPM1K","ENSG00000163644",8,NA,"Dx_DEG_Up",NA,NA
"226","PSMA7","ENSG00000101182",8,NA,"Dx_DEG_Down",NA,NA
"227","PVALB","ENSG00000100362",8,"In",NA,NA,NA
"228","PWP2","ENSG00000241945",8,NA,"Dx_DEG_Up",NA,NA
"229","RANBP1","ENSG00000099901",8,NA,"Dx_DEG_Down",NA,NA
"230","RASD1","ENSG00000108551",8,NA,"Dx_DEG_Up",NA,NA
"231","RASGRF2","ENSG00000113319",8,NA,NA,"Layer marker",NA
"232","RCAN2","ENSG00000172348",8,NA,"Dx_DEG_Down","Layer marker",NA
"233","RELN","ENSG00000189056",8,"In",NA,NA,NA
"234","RERGL","ENSG00000111404",8,NA,"Dx_DEG_Down",NA,NA
"235","RGS10","ENSG00000148908",8,NA,"Dx_DEG_Down",NA,NA
"236","RIPOR2","ENSG00000111913",8,NA,"Dx_DEG_Up",NA,NA
"237","RNASE1","ENSG00000129538",8,NA,"Dx_DEG_Down",NA,NA
"238","RORB","ENSG00000198963",8,"Ex",NA,NA,NA
"239","RPL36AL","ENSG00000165502",8,NA,"Dx_DEG_Down",NA,NA
"240","RPS26","ENSG00000197728",8,NA,"Dx_DEG_Down",NA,NA
"241","RTF2","ENSG00000022277",8,NA,"Dx_DEG_Down",NA,NA
"242","S100A6","ENSG00000197956",5,NA,"Dx_DEG_Up",NA,NA
"243","S100B","ENSG00000160307",8,"Ast",NA,NA,NA
"244","SAMSN1","ENSG00000155307",8,NA,"Dx_DEG_Down",NA,NA
"245","SCG3","ENSG00000104112",8,NA,"Dx_DEG_Down",NA,NA
"246","SCN1B","ENSG00000105711",8,NA,NA,"Layer marker",NA
"247","SELPLG","ENSG00000110876",8,"Mic","Dx_DEG_Down",NA,NA
"248","SERPINA3","ENSG00000196136",8,NA,"Dx_DEG_Up","Layer marker",NA
"249","SERPING1","ENSG00000149131",8,NA,"Dx_DEG_Up",NA,NA
"250","SESN1","ENSG00000080546",8,NA,"Dx_DEG_Up",NA,NA
"251","SLC14A1","ENSG00000141469",8,NA,"Dx_DEG_Up",NA,NA
"252","SLC2A1","ENSG00000117394",8,NA,NA,"Layer marker",NA
"253","SLC32A1","ENSG00000101438",8,"In",NA,NA,NA
"254","SLC39A8","ENSG00000138821",8,NA,NA,NA,"PGC-GWAS"
"255","SLC44A1","ENSG00000070214",3,NA,NA,"Layer marker",NA
"256","SLN","ENSG00000170290",8,NA,NA,"Layer marker",NA
"257","SMAD1","ENSG00000170365",8,NA,"Dx_DEG_Up",NA,NA
"258","SMIM32","ENSG00000271824",8,NA,NA,"Layer marker",NA
"259","SMPX","ENSG00000091482",8,NA,NA,"Layer marker",NA
"260","SMYD2","ENSG00000143499",8,NA,NA,"Layer marker",NA
"261","SNPH","ENSG00000101298",8,NA,"Dx_DEG_Up",NA,NA
"262","SOD2","ENSG00000112096",8,NA,"Dx_DEG_Up",NA,NA
"263","SOX2-OT","ENSG00000242808",3,NA,"Dx_DEG_Down","Layer marker",NA
"264","SPRY2","ENSG00000136158",8,NA,"Dx_DEG_Down",NA,NA
"265","SSBP1","ENSG00000106028",8,NA,"Dx_DEG_Down",NA,NA
"266","SST","ENSG00000157005",4,"In","Dx_DEG_Down",NA,NA
"267","SV2A","ENSG00000159164",8,NA,NA,NA,NA
"268","SVBP","ENSG00000177868",8,NA,"Dx_DEG_Down",NA,NA
"269","SYK","ENSG00000165025",8,"Mic","Dx_DEG_Down",NA,NA
"270","SYT2","ENSG00000143858",8,NA,NA,"Layer marker",NA
"271","SYTL4","ENSG00000102362",8,NA,"Dx_DEG_Up",NA,NA
"272","TAGLN","ENSG00000149591",8,NA,NA,"Layer marker",NA
"273","TEF","ENSG00000167074",8,NA,"Dx_DEG_Up",NA,NA
"274","TF","ENSG00000091513",5,NA,"Dx_DEG_Down",NA,NA
"275","THEMIS","ENSG00000172673",8,NA,NA,"Layer marker",NA
"276","TIMP1","ENSG00000102265",8,NA,"Dx_DEG_Up",NA,NA
"277","TMEM119","ENSG00000183160",8,"Mic","Dx_DEG_Down",NA,NA
"278","TMEM144","ENSG00000164124",4,NA,"Dx_DEG_Down",NA,NA
"279","TMSB10","ENSG00000034510",3,NA,NA,"Layer marker",NA
"280","TNFSF10","ENSG00000121858",8,NA,"Dx_DEG_Down",NA,NA
"281","TNK2","ENSG00000061938",8,NA,"Dx_DEG_Up",NA,NA
"282","TRABD2A","ENSG00000186854",8,"Ex",NA,"Layer marker",NA
"283","TREM2","ENSG00000095970",8,"Mic","Dx_DEG_Down",NA,NA
"284","TSC22D3","ENSG00000157514",8,NA,"Dx_DEG_Up",NA,NA
"285","TTC9B","ENSG00000174521",5,NA,NA,"Layer marker",NA
"286","TXNIP","ENSG00000265972",8,NA,"Dx_DEG_Up",NA,NA
"287","TYROBP","ENSG00000011600",4,NA,"Dx_DEG_Down",NA,NA
"288","UGT8","ENSG00000174607",5,NA,"Dx_DEG_Down",NA,NA
"289","UQCRFS1","ENSG00000169021",8,NA,"Dx_DEG_Down",NA,NA
"290","USP22","ENSG00000124422",8,NA,"Dx_DEG_Up",NA,NA
"291","VAMP1","ENSG00000139190",8,NA,NA,"Layer marker",NA
"292","VGF","ENSG00000128564",8,NA,"Dx_DEG_Down",NA,NA
"293","VIM","ENSG00000026025",8,"Ast",NA,NA,NA
"294","VIP","ENSG00000146469",8,"In",NA,NA,NA
"295","XRRA1","ENSG00000166435",8,NA,"Dx_DEG_Down",NA,NA
"296","YWHAH","ENSG00000128245",8,NA,NA,"Layer marker",NA
"297","ZBTB16","ENSG00000109906",8,NA,"Dx_DEG_Up",NA,NA
"298","ZNF483","ENSG00000173258",8,NA,"Dx_DEG_Up",NA,NA
"299","ZNF804A","ENSG00000170396",8,NA,NA,NA,"PGC-GWAS"
"300","ZP3","ENSG00000188372",8,NA,"Dx_DEG_Up",NA,NA
