"","Gene","Ensembl ID","Probesets","cell_type","dx_deg","layer_marker","NA"
"1","A2M","ENSG00000175899",8,NA,"Dx_DEG_Up","Layer marker",NA
"2","ABCA2","ENSG00000107331",5,NA,NA,"Layer marker",NA
"3","ABCG2","ENSG00000118777",8,NA,"Dx_DEG_Down",NA,NA
"4","ACO1","ENSG00000122729",8,NA,"Dx_DEG_Up",NA,NA
"5","ACTA2","ENSG00000107796",8,NA,NA,"Layer marker",NA
"6","ACY3","ENSG00000132744",8,NA,"Dx_DEG_Down",NA,NA
"7","ADAM28","ENSG00000042980",8,NA,"Dx_DEG_Down",NA,NA
"8","ADCYAP1","ENSG00000141433",8,"BDNF",NA,"Layer marker",NA
"9","ADCYAP1R1","ENSG00000078549",8,NA,"Dx_DEG_Up",NA,NA
"10","ADIRF","ENSG00000148671",4,NA,"Dx_DEG_Up",NA,NA
"11","AIF1","ENSG00000204472",7,"Mic","Dx_DEG_Down",NA,NA
"12","AJ009632.2","ENSG00000229425",8,NA,NA,"Layer marker",NA
"13","AK5","ENSG00000154027",8,NA,NA,"Layer marker",NA
"14","AKAP8L","ENSG00000011243",8,NA,"Dx_DEG_Up",NA,NA
"15","AKT1","ENSG00000142208",8,NA,NA,NA,"Literature"
"16","ALCAM","ENSG00000170017",8,NA,"Dx_DEG_Down",NA,NA
"17","ALDH1A1","ENSG00000165092",8,NA,"Dx_DEG_Down",NA,NA
"18","ALOX5AP","ENSG00000132965",8,NA,"Dx_DEG_Down",NA,NA
"19","ANLN","ENSG00000011426",5,NA,"Dx_DEG_Down",NA,NA
"20","APOLD1","ENSG00000178878",8,NA,"Dx_DEG_Up",NA,NA
"21","AQP1","ENSG00000240583",8,NA,"Dx_DEG_Up",NA,NA
"22","AQP4","ENSG00000171885",8,"Ast",NA,NA,NA
"23","ARPC1B","ENSG00000130429",8,NA,"Dx_DEG_Down",NA,NA
"24","ARPP19","ENSG00000128989",8,NA,NA,"Layer marker",NA
"25","ARRDC3","ENSG00000113369",8,NA,"Dx_DEG_Up",NA,NA
"26","ATP2B4","ENSG00000058668",8,NA,"Dx_DEG_Up",NA,NA
"27","BAIAP3","ENSG00000007516",8,NA,"Dx_DEG_Up",NA,NA
"28","BCAS1","ENSG00000064787",8,NA,NA,"Layer marker",NA
"29","BCL6","ENSG00000113916",8,NA,"Dx_DEG_Up",NA,NA
"30","BDNF","ENSG00000176697",8,NA,"Dx_DEG_Down",NA,NA
"31","BLCAP","ENSG00000166619",8,NA,"Dx_DEG_Up",NA,NA
"32","C14orf132","ENSG00000227051",8,NA,NA,"Layer marker",NA
"33","C1orf61","ENSG00000125462",8,NA,NA,"Layer marker",NA
"34","C1QA","ENSG00000173372",8,"Mic","Dx_DEG_Down",NA,NA
"35","C1QB","ENSG00000173369",7,"Mic","Dx_DEG_Down",NA,NA
"36","C1QL2","ENSG00000144119",8,NA,NA,"Layer marker",NA
"37","C3","ENSG00000125730",8,"Mic","Dx_DEG_Down",NA,NA
"38","C4A","ENSG00000244731",8,NA,NA,NA,"Literature"
"39","CABP1","ENSG00000157782",8,"Ex",NA,NA,NA
"40","CACNA1C","ENSG00000151067",8,NA,NA,NA,"PGC-GWAS; Synapse"
"41","CALB1","ENSG00000104327",8,"In",NA,NA,NA
"42","CALB2","ENSG00000172137",8,"In",NA,NA,NA
"43","CAMK2N1","ENSG00000162545",8,NA,NA,"Layer marker",NA
"44","CAPN3","ENSG00000092529",5,NA,"Dx_DEG_Down",NA,NA
"45","CAPZB","ENSG00000077549",8,NA,"Dx_DEG_Down",NA,NA
"46","CARTPT","ENSG00000164326",8,NA,NA,"Layer marker",NA
"47","CASC3","ENSG00000108349",8,NA,"Dx_DEG_Up",NA,NA
"48","CCK","ENSG00000187094",8,"In",NA,NA,NA
"49","CCNI","ENSG00000118816",8,NA,"Dx_DEG_Down",NA,NA
"50","CD52","ENSG00000169442",6,"Immune",NA,NA,NA
"51","CD53","ENSG00000143119",8,NA,"Dx_DEG_Down",NA,NA
"52","CD68","ENSG00000129226",8,"Immune",NA,NA,NA
"53","CD74","ENSG00000019582",8,"Mic","Dx_DEG_Down",NA,NA
"54","CFAP36","ENSG00000163001",8,NA,"Dx_DEG_Down",NA,NA
"55","CHI3L1","ENSG00000133048",8,NA,"Dx_DEG_Up",NA,NA
"56","CHST1","ENSG00000175264",8,NA,"Dx_DEG_Up",NA,NA
"57","CLDN11","ENSG00000013297",5,"Oligo","Dx_DEG_Down",NA,NA
"58","CLDN5","ENSG00000184113",8,"Endo",NA,"Layer marker",NA
"59","CLDND1","ENSG00000080822",8,NA,NA,"Layer marker",NA
"60","CNDP1","ENSG00000150656",5,NA,"Dx_DEG_Down",NA,NA
"61","CNN3","ENSG00000117519",8,NA,"Dx_DEG_Up",NA,NA
"62","CNP","ENSG00000173786",5,"Oligo",NA,"Layer marker",NA
"63","COMT","ENSG00000093010",8,NA,NA,NA,"Literature"
"64","CORT","ENSG00000241563",8,"In","Dx_DEG_Down",NA,NA
"65","COX5A","ENSG00000178741",8,NA,"Dx_DEG_Down",NA,NA
"66","CRHBP","ENSG00000145708",8,"In",NA,NA,NA
"67","CRYM","ENSG00000103316",8,"Ex",NA,NA,NA
"68","CSF1R","ENSG00000182578",8,NA,"Dx_DEG_Down",NA,NA
"69","CSMD1","ENSG00000183117",8,NA,NA,NA,"PGC-GWAS; Complement"
"70","CTIF","ENSG00000134030",8,NA,"Dx_DEG_Up",NA,NA
"71","CUX2","ENSG00000111249",8,"Ex",NA,NA,NA
"72","CX3CR1","ENSG00000168329",8,NA,"Dx_DEG_Down",NA,NA
"73","CXCL14","ENSG00000145824",8,NA,NA,"Layer marker",NA
"74","CXCR4","ENSG00000121966",8,"Immune",NA,NA,NA
"75","CYBA","ENSG00000051523",8,NA,"Dx_DEG_Down",NA,NA
"76","CYBB","ENSG00000165168",8,NA,"Dx_DEG_Down",NA,NA
"77","CYP46A1","ENSG00000036530",8,NA,NA,"Layer marker",NA
"78","DACH1","ENSG00000276644",8,NA,NA,"Layer marker",NA
"79","DBNDD2","ENSG00000244274",5,NA,NA,"Layer marker",NA
"80","DCC","ENSG00000187323",8,NA,NA,NA,"PGC-GWAS; Synapse; dopamine; BDNF"
"81","DDIT4","ENSG00000168209",8,NA,"Dx_DEG_Up",NA,NA
"82","DEAF1","ENSG00000177030",8,NA,"Dx_DEG_Up",NA,NA
"83","DIRAS2","ENSG00000165023",8,NA,NA,"Layer marker",NA
"84","DISC1","ENSG00000162946",8,NA,NA,NA,"Literature"
"85","DKK3","ENSG00000050165",8,NA,NA,"Layer marker",NA
"86","EDIL3","ENSG00000164176",4,NA,NA,"Layer marker",NA
"87","EGR1","ENSG00000120738",8,NA,"Dx_DEG_Down",NA,NA
"88","EGR3","ENSG00000179388",8,NA,NA,"Layer marker",NA
"89","ELMSAN1","ENSG00000156030",8,NA,"Dx_DEG_Up",NA,NA
"90","ELOC","ENSG00000154582",8,NA,"Dx_DEG_Down",NA,NA
"91","ENC1","ENSG00000171617",8,NA,NA,"Layer marker",NA
"92","ENPP2","ENSG00000136960",5,NA,"Dx_DEG_Down",NA,NA
"93","EPAS1","ENSG00000116016",8,NA,NA,"Layer marker",NA
"94","ERBB4","ENSG00000178568",4,NA,NA,NA,"Literature"
"95","EVI2A","ENSG00000126860",5,NA,"Dx_DEG_Down",NA,NA
"96","FABP3","ENSG00000121769",8,NA,"Dx_DEG_Down",NA,NA
"97","FGFR3","ENSG00000068078",8,"Ast",NA,NA,NA
"98","FILIP1","ENSG00000118407",8,"Ex",NA,NA,NA
"99","FKBP5","ENSG00000096060",8,NA,"Dx_DEG_Up",NA,NA
"100","FLT1","ENSG00000102755",8,"Endo",NA,NA,NA
"101","FREM3","ENSG00000183090",8,NA,NA,"Layer marker",NA
"102","FSCN1","ENSG00000075618",8,NA,"Dx_DEG_Down",NA,NA
"103","FSTL4","ENSG00000053108",8,"Ex",NA,NA,NA
"104","FURIN","ENSG00000140564",8,NA,NA,NA,"PGC-GWAS"
"105","GABBR2","ENSG00000136928",8,NA,NA,NA,NA
"106","GABPB1-AS1","ENSG00000244879",8,NA,"Dx_DEG_Up",NA,NA
"107","GAD1","ENSG00000128683",8,"In",NA,NA,NA
"108","GAD2","ENSG00000136750",8,"In",NA,NA,NA
"109","GADD45G","ENSG00000130222",5,NA,"Dx_DEG_Up",NA,NA
"110","GALNT16","ENSG00000100626",8,NA,"Dx_DEG_Up",NA,NA
"111","GATD3A","ENSG00000160221",8,NA,"Dx_DEG_Up",NA,NA
"112","GATD3B","ENSG00000280071",8,NA,"Dx_DEG_Down",NA,NA
"113","GFAP","ENSG00000131095",8,"Ast","Dx_DEG_Up",NA,NA
"114","GJA1","ENSG00000152661",8,"Ast",NA,NA,NA
"115","GJB1","ENSG00000169562",5,NA,"Dx_DEG_Down",NA,NA
"116","GNAL","ENSG00000141404",8,NA,NA,"Layer marker",NA
"117","GPR34","ENSG00000171659",8,"Mic","Dx_DEG_Down",NA,NA
"118","GPR6","ENSG00000146360",8,NA,NA,"Layer marker",NA
"119","GPX3","ENSG00000211445",8,NA,NA,"Layer marker",NA
"120","GRIN2A","ENSG00000183454",8,NA,NA,NA,"PGC-GWAS; Synapse"
"121","GSTM5","ENSG00000134201",8,NA,"Dx_DEG_Up",NA,NA
"122","HBA1","ENSG00000206172",4,NA,NA,"Layer marker",NA
"123","HHIP","ENSG00000164161",5,NA,"Dx_DEG_Down",NA,NA
"124","HIF3A","ENSG00000124440",8,NA,"Dx_DEG_Up",NA,NA
"125","HLA-B","ENSG00000234745",8,NA,NA,"Layer marker",NA
"126","HLA-DPA1","ENSG00000231389",8,NA,"Dx_DEG_Down",NA,NA
"127","HLA-DRB1","ENSG00000196126",8,"Immune",NA,NA,NA
"128","HLA-E","ENSG00000204592",8,NA,NA,"Layer marker",NA
"129","HMGB2","ENSG00000164104",8,NA,"Dx_DEG_Up",NA,NA
"130","HNRNPH3","ENSG00000096746",8,NA,"Dx_DEG_Up",NA,NA
"131","HPCAL1","ENSG00000115756",8,NA,NA,"Layer marker",NA
"132","HSPA8","ENSG00000109971",8,NA,"Dx_DEG_Down",NA,NA
"133","HTR2C","ENSG00000147246",8,NA,NA,"Layer marker",NA
"134","IFITM3","ENSG00000142089",8,"Immune","Dx_DEG_Up",NA,NA
"135","IGFBP5","ENSG00000115461",8,NA,NA,"Layer marker",NA
"136","IGFBP6","ENSG00000167779",7,NA,"Dx_DEG_Down",NA,NA
"137","IGSF6","ENSG00000140749",8,NA,"Dx_DEG_Down",NA,NA
"138","IRS2","ENSG00000185950",8,NA,"Dx_DEG_Up",NA,NA
"139","ISLR","ENSG00000129009",8,NA,NA,"Layer marker",NA
"140","ITGAM","ENSG00000169896",8,"Mic",NA,NA,NA
"141","ITGAX","ENSG00000140678",8,"Mic","Dx_DEG_Down",NA,NA
"142","ITGB2","ENSG00000160255",8,NA,"Dx_DEG_Down",NA,NA
"143","ITGB4","ENSG00000132470",8,NA,"Dx_DEG_Up",NA,NA
"144","ITM2A","ENSG00000078596",8,NA,"Dx_DEG_Down",NA,NA
"145","KANSL1-AS1","ENSG00000214401",1,NA,"Dx_DEG_Down",NA,NA
"146","KCNK1","ENSG00000135750",8,NA,"Dx_DEG_Down",NA,NA
"147","KIF1A","ENSG00000130294",8,NA,"Dx_DEG_Up",NA,NA
"148","KIF5A","ENSG00000155980",8,NA,"Dx_DEG_Up",NA,NA
"149","KLF2","ENSG00000127528",8,"Endo",NA,NA,NA
"150","KLK6","ENSG00000167755",5,NA,"Dx_DEG_Down",NA,NA
"151","KRT17","ENSG00000128422",8,NA,NA,"Layer marker",NA
"152","LAMP5","ENSG00000125869",8,"In",NA,"Layer marker",NA
"153","LAPTM5","ENSG00000162511",8,NA,"Dx_DEG_Down",NA,NA
"154","LATS1","ENSG00000131023",8,NA,"Dx_DEG_Up",NA,NA
"155","LGALS1","ENSG00000100097",6,NA,NA,"Layer marker",NA
"156","LILRB4","ENSG00000186818",8,NA,"Dx_DEG_Down",NA,NA
"157","LINC02714","ENSG00000251226",8,NA,NA,"Layer marker",NA
"158","LMO4","ENSG00000143013",8,NA,NA,"Layer marker",NA
"159","LPAR6","ENSG00000139679",8,NA,"Dx_DEG_Down",NA,NA
"160","LST1","ENSG00000204482",5,NA,"Dx_DEG_Down",NA,NA
"161","LY86","ENSG00000112799",8,NA,"Dx_DEG_Down",NA,NA
"162","LZTS3","ENSG00000088899",8,NA,"Dx_DEG_Up",NA,NA
"163","MAG","ENSG00000105695",5,"Oligo","Dx_DEG_Down",NA,NA
"164","MAP2K1","ENSG00000169032",8,NA,NA,"Layer marker",NA
"165","MAPK3","ENSG00000102882",8,NA,"Dx_DEG_Up",NA,"PGC-GWAS"
"166","MBP","ENSG00000197971",3,"Oligo",NA,"Layer marker",NA
"167","MEIS2","ENSG00000134138",8,"In",NA,NA,NA
"168","MEPE","ENSG00000152595",8,NA,NA,"Layer marker",NA
"169","MOBP","ENSG00000168314",4,"Oligo",NA,"Layer marker",NA
"170","MOG","ENSG00000204655",5,"Oligo",NA,NA,NA
"171","MRPL27","ENSG00000108826",8,NA,"Dx_DEG_Down",NA,NA
"172","MRPL57","ENSG00000173141",8,NA,"Dx_DEG_Down",NA,NA
"173","MT-ATP8","ENSG00000228253",3,NA,NA,"Layer marker",NA
"174","MT-ND1","ENSG00000198888",4,NA,NA,"Layer marker",NA
