"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"A2M",1.60337482484252,-1.60337482484252,0.110024230807452,0.110024230807451,0.470656952220149,0.47065695222015,0.228145556393239,-0.22814555639324,"ENSG00000175899","A2M"
"ABCA2",0.0371598671401096,-0.0371598671400936,0.970385071656786,0.970385071656798,0.983498383435932,0.983498383435944,0.00279875505772391,-0.0027987550577227,"ENSG00000107331","ABCA2"
"ABCG2",2.06386113091555,-2.06386113091556,0.0399889472674397,0.0399889472674388,0.260797482178954,0.260797482178949,0.312333800384647,-0.312333800384648,"ENSG00000118777","ABCG2"
"ACO1",0.431369090787333,-0.431369090787333,0.666545176333483,0.666545176333482,0.916153836439759,0.916153836439756,0.0425038839196836,-0.0425038839196836,"ENSG00000122729","ACO1"
"ACTA2",0.764449929820286,-0.764449929820288,0.445268554054772,0.445268554054771,0.809579189190494,0.809579189190492,0.078872314947832,-0.0788723149478321,"ENSG00000107796","ACTA2"
"ACY3",-0.158978434875275,0.158978434875276,0.873805037475535,0.873805037475534,0.960960410549251,0.960960410549253,-0.0383650919842468,0.0383650919842469,"ENSG00000132744","ACY3"
"ADAM28",-1.01530733615435,1.01530733615435,0.310870764129152,0.310870764129152,0.717394071067274,0.717394071067274,-0.180419091640022,0.180419091640021,"ENSG00000042980","ADAM28"
"ADCYAP1",0.618869109444042,-0.618869109444037,0.536525789286239,0.536525789286242,0.856158174392934,0.856158174392939,0.0923594437418149,-0.0923594437418141,"ENSG00000141433","ADCYAP1"
"ADCYAP1R1",-0.90574643588537,0.905746435885362,0.365879816776919,0.365879816776923,0.757440726031254,0.757440726031255,-0.0689848037245338,0.0689848037245332,"ENSG00000078549","ADCYAP1R1"
"ADIRF",-1.44576361444624,1.44576361444624,0.149406388422181,0.149406388422182,0.540023090682581,0.540023090682584,-0.329735160960805,0.329735160960803,"ENSG00000148671","ADIRF"
"AIF1",-0.993813481216576,0.993813481216572,0.321205902464754,0.321205902464756,0.721517560490199,0.721517560490191,-0.180139872171598,0.180139872171597,"ENSG00000204472","AIF1"
