"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"A2M",2.23561200339996,-2.23561200339996,0.0395819992092412,0.0395819992092412,0.548692027120263,0.548692027120263,0.286975706645423,-0.286975706645423,"ENSG00000175899","A2M"
"ABCA2",-0.409019269033126,0.409019269033125,0.687808613282729,0.687808613282729,0.999982176164448,0.999982176164447,-0.0297537255500387,0.0297537255500387,"ENSG00000107331","ABCA2"
"ABCG2",2.71085678155352,-2.71085678155352,0.0151630389025097,0.0151630389025097,0.379075972562741,0.379075972562742,0.398919087563249,-0.398919087563249,"ENSG00000118777","ABCG2"
"ACO1",0.617499778931339,-0.61749977893134,0.545370599111996,0.545370599111996,0.999982176164448,0.999982176164447,0.0623748211368653,-0.0623748211368654,"ENSG00000122729","ACO1"
"ACTA2",1.28350568276582,-1.28350568276582,0.217126008699991,0.21712600869999,0.999982176164448,0.999982176164447,0.367579451455592,-0.367579451455592,"ENSG00000107796","ACTA2"
"ACY3",-0.409004025043533,0.409004025043532,0.687819580343529,0.68781958034353,0.999982176164448,0.999982176164447,-0.0701152416211966,0.0701152416211965,"ENSG00000132744","ACY3"
"ADAM28",-0.535556967206923,0.535556967206923,0.599441313976866,0.599441313976867,0.999982176164448,0.999982176164447,-0.139467685668412,0.139467685668412,"ENSG00000042980","ADAM28"
"ADCYAP1",0.155748720597972,-0.155748720597972,0.878128954815784,0.878128954815784,0.999982176164448,0.999982176164447,0.0234428889094821,-0.0234428889094821,"ENSG00000141433","ADCYAP1"
"ADCYAP1R1",0.212052586128974,-0.212052586128975,0.834674749402009,0.834674749402008,0.999982176164448,0.999982176164447,0.021944658396486,-0.0219446583964862,"ENSG00000078549","ADCYAP1R1"
"ADIRF",-1.21587125347152,1.21587125347152,0.241218377013788,0.241218377013788,0.999982176164448,0.999982176164447,-0.16899986293276,0.16899986293276,"ENSG00000148671","ADIRF"
"AIF1",-1.03969343618013,1.03969343618013,0.31354408199363,0.31354408199363,0.999982176164448,0.999982176164447,-0.241522498434654,0.241522498434654,"ENSG00000204472","AIF1"
"AJ009632.2",0.189289525145079,-0.18928952514508,0.852184934259863,0.852184934259862,0.999982176164448,0.999982176164447,0.0243917915914703,-0.0243917915914704,"ENSG00000229425","AJ009632.2"
"AK5",0.750572743703174,-0.750572743703174,0.46352621697399,0.46352621697399,0.999982176164448,0.999982176164447,0.0971914634173794,-0.0971914634173795,"ENSG00000154027","AK5"
"AKAP8L",0.495704446156932,-0.495704446156932,0.626669056433846,0.626669056433846,0.999982176164448,0.999982176164447,0.0695426341040708,-0.0695426341040708,"ENSG00000011243","AKAP8L"
"AKT1",-0.0681561524628248,0.0681561524628238,0.946484047743721,0.946484047743722,0.999982176164448,0.999982176164447,-0.00614052644633379,0.0061405264463337,"ENSG00000142208","AKT1"
"ALCAM",0.533930412772352,-0.533930412772352,0.600541070984917,0.600541070984917,0.999982176164448,0.999982176164447,0.0593245473396199,-0.0593245473396199,"ENSG00000170017","ALCAM"
"ALDH1A1",2.3071652330489,-2.30716523304889,0.0343741667186384,0.0343741667186385,0.515612500779576,0.515612500779577,0.338361503381557,-0.338361503381557,"ENSG00000165092","ALDH1A1"
"ALOX5AP",0.346934533533234,-0.346934533533234,0.73304513611728,0.73304513611728,0.999982176164448,0.999982176164447,0.0736524545442171,-0.073652454544217,"ENSG00000132965","ALOX5AP"
"ANLN",1.08798977184736,-1.08798977184736,0.292305301963268,0.292305301963269,0.999982176164448,0.999982176164447,0.26330781727512,-0.263307817275119,"ENSG00000011426","ANLN"
"APOLD1",-0.0381408322420866,0.0381408322420861,0.970035073186758,0.970035073186758,0.999982176164448,0.999982176164447,-0.0120574843200948,0.0120574843200947,"ENSG00000178878","APOLD1"
"AQP1",-3.24506072331304,3.24506072331304,0.00493467113513558,0.00493467113513558,0.27820856852116,0.27820856852116,-0.649207074850141,0.649207074850142,"ENSG00000240583","AQP1"
"AQP4",-0.624211767612583,0.624211767612582,0.541061227227034,0.541061227227034,0.999982176164448,0.999982176164447,-0.0898435716817254,0.0898435716817254,"ENSG00000171885","AQP4"
"ARPC1B",0.544885507233312,-0.544885507233312,0.593153382909615,0.593153382909615,0.999982176164448,0.999982176164447,0.0876631628570762,-0.0876631628570763,"ENSG00000130429","ARPC1B"
"ARPP19",1.97327247957602,-1.97327247957602,0.0655323149193498,0.0655323149193499,0.677920499165687,0.677920499165688,0.235670737591675,-0.235670737591675,"ENSG00000128989","ARPP19"
"ARRDC3",-1.12034906955906,1.12034906955906,0.278677867456763,0.278677867456763,0.999982176164448,0.999982176164447,-0.515852572949754,0.515852572949755,"ENSG00000113369","ARRDC3"
"ATP2B4",0.325749277169944,-0.325749277169945,0.748726723361648,0.748726723361647,0.999982176164448,0.999982176164447,0.0390589968688605,-0.0390589968688607,"ENSG00000058668","ATP2B4"
"BAIAP3",-0.990751761458457,0.990751761458457,0.33617686352539,0.33617686352539,0.999982176164448,0.999982176164447,-0.154312530922176,0.154312530922176,"ENSG00000007516","BAIAP3"
"BCAS1",-3.04188639746072,3.04188639746072,0.00758976541257908,0.00758976541257908,0.27820856852116,0.27820856852116,-0.395402133858003,0.395402133858004,"ENSG00000064787","BCAS1"
