"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"A2M",3.24337057677855,-3.24337057677855,0.00505823849720681,0.0050582384972068,0.12645596243017,0.12645596243017,0.542574676352384,-0.542574676352384,"ENSG00000175899","A2M"
"ABCA2",-0.0104368913177574,0.0104368913177588,0.991800953681026,0.991800953681024,0.991800953681026,0.991800953681024,-0.000753241629612399,0.000753241629612501,"ENSG00000107331","ABCA2"
"ABCG2",3.4001835258327,-3.4001835258327,0.00363173144241126,0.00363173144241127,0.121057714747042,0.121057714747042,0.553700805305037,-0.553700805305037,"ENSG00000118777","ABCG2"
"ACO1",0.282834493385687,-0.282834493385687,0.78090787941659,0.78090787941659,0.923560697807142,0.923560697807143,0.0241222048654267,-0.0241222048654267,"ENSG00000122729","ACO1"
"ACTA2",0.576252336331441,-0.576252336331442,0.572413309629955,0.572413309629954,0.816030426552677,0.816030426552676,0.065046925897973,-0.0650469258979731,"ENSG00000107796","ACTA2"
"ACY3",-0.593226544120879,0.59322654412088,0.561271550000644,0.561271550000643,0.816030426552677,0.816030426552676,-0.0980818543157148,0.098081854315715,"ENSG00000132744","ACY3"
"ADAM28",-1.32258752107608,1.32258752107608,0.204453516775553,0.204453516775553,0.578996313728665,0.578996313728665,-0.275778171044114,0.275778171044114,"ENSG00000042980","ADAM28"
"ADCYAP1",0.532514345302716,-0.532514345302714,0.601642768166923,0.601642768166923,0.827948763532462,0.827948763532463,0.100331640796236,-0.100331640796235,"ENSG00000141433","ADCYAP1"
"ADCYAP1R1",-0.573937850595963,0.573937850595963,0.573941400008716,0.573941400008716,0.816030426552677,0.816030426552676,-0.0469883728842237,0.0469883728842237,"ENSG00000078549","ADCYAP1R1"
"ADIRF",-2.45081983789967,2.45081983789967,0.0260496219445396,0.0260496219445396,0.274506042665021,0.27450604266502,-0.423086478429728,0.423086478429729,"ENSG00000148671","ADIRF"
"AIF1",-1.0624704794997,1.0624704794997,0.303700186167845,0.303700186167845,0.667661820010018,0.667661820010018,-0.234206805199526,0.234206805199526,"ENSG00000204472","AIF1"
"AJ009632.2",-0.257594617380803,0.257594617380804,0.79998332488154,0.799983324881539,0.929354375900736,0.929354375900737,-0.0375971668104173,0.0375971668104175,"ENSG00000229425","AJ009632.2"
"AK5",1.21838685335006,-1.21838685335006,0.240630834541275,0.240630834541275,0.611495183182305,0.611495183182305,0.166940032023699,-0.166940032023699,"ENSG00000154027","AK5"
"AKAP8L",0.0910057944418652,-0.0910057944418664,0.928610661244928,0.928610661244927,0.979672597641435,0.979672597641434,0.0104819443068227,-0.0104819443068228,"ENSG00000011243","AKAP8L"
"AKT1",0.0280279304827579,-0.028027930482758,0.977984366033962,0.977984366033962,0.986682273136175,0.986682273136175,0.00188959112015202,-0.00188959112015203,"ENSG00000142208","AKT1"
"ALCAM",1.42334787708876,-1.42334787708876,0.173725558390565,0.173725558390566,0.548607026496521,0.548607026496523,0.175239888465657,-0.175239888465656,"ENSG00000170017","ALCAM"
"ALDH1A1",0.30695361733614,-0.306953617336139,0.762813258503338,0.762813258503339,0.915375910204006,0.915375910204006,0.0508314391682821,-0.0508314391682819,"ENSG00000165092","ALDH1A1"
"ALOX5AP",-0.490357244336947,0.490357244336947,0.630496791084656,0.630496791084656,0.859768351479076,0.859768351479076,-0.106456271769381,0.106456271769381,"ENSG00000132965","ALOX5AP"
"ANLN",1.62060625028517,-1.62060625028517,0.124520687431958,0.124520687431958,0.5117288524601,0.511728852460101,0.414622616321967,-0.414622616321967,"ENSG00000011426","ANLN"
