"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"A2M",-0.515164353416627,0.515164353416626,0.613134073723,0.613134073723001,0.893419746854389,0.893419746854389,-0.0692853427653089,0.0692853427653087,"ENSG00000175899","A2M"
"ABCA2",-0.0125199260398862,0.012519926039886,0.990157929141914,0.990157929141914,0.99409888865429,0.99409888865429,-0.0012851316386194,0.00128513163861939,"ENSG00000107331","ABCA2"
"ABCG2",0.979495017164896,-0.979495017164897,0.34119796768885,0.34119796768885,0.889209091249932,0.889209091249933,0.13308226118075,-0.13308226118075,"ENSG00000118777","ABCG2"
"ACO1",-1.21796202152526,1.21796202152526,0.240028378747247,0.240028378747247,0.827684064645679,0.827684064645678,-0.168901372442435,0.168901372442435,"ENSG00000122729","ACO1"
"ACTA2",1.03849621095712,-1.03849621095712,0.313720730121674,0.313720730121674,0.869525716836919,0.869525716836918,0.137711869629148,-0.137711869629148,"ENSG00000107796","ACTA2"
"ACY3",-0.0301312259107124,0.0301312259107117,0.976316606372996,0.976316606372996,0.992864345464063,0.992864345464064,-0.00548132969742801,0.0054813296974279,"ENSG00000132744","ACY3"
"ADAM28",-0.728227615077137,0.728227615077137,0.476478989434675,0.476478989434675,0.889209091249932,0.889209091249933,-0.165003458695695,0.165003458695695,"ENSG00000042980","ADAM28"
"ADCYAP1",4.08103437117666,-4.08103437117666,0.00079157371322589,0.00079157371322589,0.0894498904213542,0.0894498904213542,0.56747029929378,-0.567470299293781,"ENSG00000141433","ADCYAP1"
"ADCYAP1R1",-2.5231081081031,2.5231081081031,0.0219935954983071,0.021993595498307,0.501154712548862,0.501154712548863,-0.230850159443149,0.23085015944315,"ENSG00000078549","ADCYAP1R1"
"ADIRF",-2.89609141042713,2.89609141042713,0.010117545326778,0.010117545326778,0.433609085433343,0.433609085433343,-0.356454538801858,0.356454538801858,"ENSG00000148671","ADIRF"
"AIF1",-0.854441142608365,0.854441142608365,0.404851950999369,0.404851950999369,0.889209091249932,0.889209091249933,-0.190467132679854,0.190467132679854,"ENSG00000204472","AIF1"
"AJ009632.2",0.149227450008569,-0.149227450008569,0.883146632026667,0.883146632026666,0.973375603110011,0.973375603110011,0.0432600840540955,-0.0432600840540956,"ENSG00000229425","AJ009632.2"
"AK5",0.700109269936253,-0.700109269936252,0.493418172901946,0.493418172901947,0.889209091249932,0.889209091249933,0.0896874152246158,-0.0896874152246158,"ENSG00000154027","AK5"
"AKAP8L",0.299464750773746,-0.299464750773745,0.768249863813491,0.768249863813491,0.91952828767973,0.919528287679729,0.0383843392604557,-0.0383843392604557,"ENSG00000011243","AKAP8L"
"AKT1",-0.747332904201796,0.747332904201797,0.465170288187104,0.465170288187104,0.889209091249932,0.889209091249933,-0.0601656874730034,0.0601656874730034,"ENSG00000142208","AKT1"
"ALCAM",-0.0929775890667323,0.0929775890667329,0.927018524280132,0.927018524280132,0.986189919446949,0.986189919446949,-0.0115912549325405,0.0115912549325406,"ENSG00000170017","ALCAM"
"ALDH1A1",0.397866062909074,-0.397866062909074,0.695727082379807,0.695727082379807,0.910417144412794,0.910417144412792,0.0531987391951948,-0.0531987391951948,"ENSG00000165092","ALDH1A1"
"ALOX5AP",-0.00863088656829474,0.00863088656829469,0.993215053300421,0.993215053300421,0.99409888865429,0.99409888865429,-0.0021160765063222,0.00211607650632219,"ENSG00000132965","ALOX5AP"
"ANLN",1.66813490759741,-1.66813490759741,0.113773612322715,0.113773612322715,0.613622753238323,0.613622753238321,0.394389103894418,-0.394389103894418,"ENSG00000011426","ANLN"
"APOLD1",-0.628532862736204,0.628532862736205,0.538086985785628,0.538086985785627,0.889209091249932,0.889209091249933,-0.0724491689094805,0.0724491689094806,"ENSG00000178878","APOLD1"
"AQP1",0.273411206130433,-0.273411206130432,0.787861938709137,0.787861938709137,0.930545596900555,0.930545596900556,0.0358565344265917,-0.0358565344265917,"ENSG00000240583","AQP1"
"AQP4",-1.52364551345823,1.52364551345823,0.14615486897756,0.14615486897756,0.613622753238323,0.613622753238321,-0.214141954958801,0.214141954958801,"ENSG00000171885","AQP4"
"ARPC1B",1.12881015798711,-1.12881015798711,0.274802057380401,0.274802057380401,0.869525716836919,0.869525716836918,0.12726187920546,-0.12726187920546,"ENSG00000130429","ARPC1B"
"ARPP19",1.51917311260013,-1.51917311260013,0.147269460777197,0.147269460777197,0.613622753238323,0.613622753238321,0.239529083940972,-0.239529083940973,"ENSG00000128989","ARPP19"
"ARRDC3",-0.807481518895525,0.807481518895525,0.430647196795119,0.430647196795118,0.889209091249932,0.889209091249933,-0.112057328999131,0.112057328999132,"ENSG00000113369","ARRDC3"
"ATP2B4",-1.36860305070483,1.36860305070483,0.189104741065927,0.189104741065927,0.718119269870607,0.718119269870609,-0.147584003613677,0.147584003613677,"ENSG00000058668","ATP2B4"
"BAIAP3",-0.35778188010809,0.35778188010809,0.724951380807884,0.724951380807884,0.91520551266146,0.91520551266146,-0.0826775689042886,0.0826775689042886,"ENSG00000007516","BAIAP3"
"BCAS1",-1.84176022785145,1.84176022785146,0.0831921205809427,0.0831921205809426,0.613622753238323,0.613622753238321,-0.246733985577778,0.246733985577778,"ENSG00000064787","BCAS1"
"BCL6",0.0810651402569887,-0.0810651402569884,0.936345770657839,0.93634577065784,0.989191867470349,0.989191867470349,0.01206516971827,-0.0120651697182699,"ENSG00000113916","BCL6"
"BDNF",5.11351199472843,-5.11351199472843,8.89992612126079e-05,8.89992612126082e-05,0.0266997783637824,0.0266997783637825,0.785822528026664,-0.785822528026664,"ENSG00000176697","BDNF"
"BLCAP",0.72716404048747,-0.727164040487469,0.477113332582077,0.477113332582077,0.889209091249932,0.889209091249933,0.0770322418601116,-0.0770322418601116,"ENSG00000166619","BLCAP"
"C14orf132",-1.43258706749144,1.43258706749144,0.170277637926491,0.17027763792649,0.671396267283616,0.671396267283618,-0.124876123274599,0.124876123274599,"ENSG00000227051","C14orf132"
"C1QA",-1.98608691546519,1.98608691546519,0.0635487393035601,0.06354873930356,0.613622753238323,0.613622753238321,-0.281788324428739,0.281788324428739,"ENSG00000173372","C1QA"
"C1QB",-1.15677569748542,1.15677569748542,0.263509896333158,0.263509896333158,0.868713943955466,0.868713943955466,-0.304023892590354,0.304023892590354,"ENSG00000173369","C1QB"
"C1QL2",-0.94863197868741,0.94863197868741,0.356223251558413,0.356223251558413,0.889209091249932,0.889209091249933,-0.194245476596288,0.194245476596288,"ENSG00000144119","C1QL2"
"C1orf61",0.808269759937604,-0.808269759937605,0.430205776259214,0.430205776259214,0.889209091249932,0.889209091249933,0.077320029671614,-0.0773200296716141,"ENSG00000125462","C1orf61"
"C3",-0.277057090304441,0.277057090304441,0.785108268432305,0.785108268432305,0.930545596900555,0.930545596900556,-0.0713559056782556,0.0713559056782556,"ENSG00000125730","C3"
"C4A",-0.361388462983926,0.361388462983926,0.72230311631817,0.72230311631817,0.91520551266146,0.91520551266146,-0.0665624682564897,0.0665624682564897,"ENSG00000244731","C4A"
"CABP1",0.58730233323156,-0.58730233323156,0.564792549883965,0.564792549883966,0.893419746854389,0.893419746854389,0.063049891410115,-0.063049891410115,"ENSG00000157782","CABP1"
"CACNA1C",0.720567219382698,-0.720567219382698,0.481059094485726,0.481059094485726,0.889209091249932,0.889209091249933,0.0582716645075037,-0.0582716645075037,"ENSG00000151067","CACNA1C"
"CALB1",-0.903715083449247,0.903715083449248,0.3788925091576,0.3788925091576,0.889209091249932,0.889209091249933,-0.173555217088669,0.173555217088669,"ENSG00000104327","CALB1"
"CALB2",-4.02430217926055,4.02430217926055,0.000894498904213542,0.000894498904213542,0.0894498904213542,0.0894498904213542,-0.631858780174129,0.631858780174129,"ENSG00000172137","CALB2"
"CAMK2N1",-0.426431193821547,0.426431193821547,0.675194670169668,0.675194670169667,0.910417144412794,0.910417144412792,-0.0376417673180016,0.0376417673180017,"ENSG00000162545","CAMK2N1"
"CAPN3",-0.37028720571703,0.370287205717031,0.715784465880495,0.715784465880494,0.91520551266146,0.91520551266146,-0.0504258660822577,0.0504258660822578,"ENSG00000092529","CAPN3"
"CAPZB",0.12021011028363,-0.120210110283629,0.905739207947776,0.905739207947776,0.984499139073669,0.984499139073669,0.0117014267744026,-0.0117014267744026,"ENSG00000077549","CAPZB"
"CARTPT",-0.739023065143943,0.739023065143944,0.470068898599626,0.470068898599626,0.889209091249932,0.889209091249933,-0.129416705130305,0.129416705130305,"ENSG00000164326","CARTPT"
"CASC3",0.365740135599403,-0.365740135599403,0.719112572484168,0.719112572484168,0.91520551266146,0.91520551266146,0.0326473318767863,-0.0326473318767863,"ENSG00000108349","CASC3"
"CCK",0.903976115228426,-0.903976115228427,0.378758023258467,0.378758023258467,0.889209091249932,0.889209091249933,0.130893350366643,-0.130893350366643,"ENSG00000187094","CCK"
"CCNI",1.16597535893633,-1.16597535893633,0.259872502632837,0.259872502632837,0.86624167544279,0.866241675442792,0.148448978476927,-0.148448978476927,"ENSG00000118816","CCNI"
"CD52",0.0969464938923461,-0.0969464938923466,0.92391329823872,0.92391329823872,0.986189919446949,0.986189919446949,0.0247734670351411,-0.0247734670351412,"ENSG00000169442","CD52"
"CD53",0.947289133235538,-0.947289133235538,0.356887189604271,0.356887189604271,0.889209091249932,0.889209091249933,0.250972467687708,-0.250972467687708,"ENSG00000143119","CD53"
"CD68",-0.142709838296324,0.142709838296324,0.888212875711383,0.888212875711383,0.973375603110011,0.973375603110011,-0.0148520422773723,0.0148520422773723,"ENSG00000129226","CD68"
"CD74",-0.668931892149201,0.668931892149202,0.512605306256055,0.512605306256055,0.889209091249932,0.889209091249933,-0.0886661651999325,0.0886661651999326,"ENSG00000019582","CD74"
"CFAP36",0.895162192434212,-0.895162192434212,0.38331676402588,0.38331676402588,0.889209091249932,0.889209091249933,0.0968152945260258,-0.0968152945260259,"ENSG00000163001","CFAP36"
"CHI3L1",1.45902572161217,-1.45902572161217,0.162958408883,0.162958408883,0.660642198174323,0.660642198174323,0.351258837158483,-0.351258837158483,"ENSG00000133048","CHI3L1"
"CHST1",-1.54597029954744,1.54597029954744,0.140696019297891,0.140696019297891,0.613622753238323,0.613622753238321,-0.143644172321895,0.143644172321895,"ENSG00000175264","CHST1"
"CLDN11",0.91924530452469,-0.91924530452469,0.370947009785095,0.370947009785095,0.889209091249932,0.889209091249933,0.218259437051493,-0.218259437051493,"ENSG00000013297","CLDN11"
"CLDN5",-1.05951509273516,1.05951509273516,0.30432578061483,0.304325780614831,0.869525716836919,0.869525716836918,-0.179226254385687,0.179226254385687,"ENSG00000184113","CLDN5"
"CLDND1",0.789064561819187,-0.789064561819187,0.441042250693721,0.441042250693721,0.889209091249932,0.889209091249933,0.0699977182241859,-0.0699977182241859,"ENSG00000080822","CLDND1"
"CNDP1",0.669403024676502,-0.669403024676501,0.512312232866284,0.512312232866286,0.889209091249932,0.889209091249933,0.155654543440852,-0.155654543440852,"ENSG00000150656","CNDP1"
"CNN3",-0.649327196478927,0.649327196478926,0.524884751151362,0.524884751151362,0.889209091249932,0.889209091249933,-0.0731887677232921,0.073188767723292,"ENSG00000117519","CNN3"
