"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"A2M",3.15726900661679,-3.15726900661679,0.00585124060944726,0.00585124060944724,0.351074436566836,0.351074436566834,0.458504191853928,-0.458504191853929,"ENSG00000175899","A2M"
"ABCA2",-0.282386401789783,0.282386401789784,0.781116845788774,0.781116845788774,0.921286487357033,0.921286487357033,-0.0519490944028231,0.0519490944028232,"ENSG00000107331","ABCA2"
"ABCG2",3.62959396428322,-3.62959396428322,0.00212271735904176,0.00212271735904175,0.351074436566836,0.351074436566834,0.588733192368603,-0.588733192368604,"ENSG00000118777","ABCG2"
"ACO1",0.124377597479305,-0.124377597479305,0.902501013461852,0.902501013461852,0.945447175873758,0.945447175873758,0.0113685338940861,-0.0113685338940861,"ENSG00000122729","ACO1"
"ACTA2",-0.108862790247083,0.108862790247083,0.914608559502205,0.914608559502205,0.94912700357735,0.94912700357735,-0.0131516733792512,0.0131516733792513,"ENSG00000107796","ACTA2"
"ACY3",-0.833625417118988,0.833625417118987,0.416255685600746,0.416255685600747,0.749244786474219,0.749244786474219,-0.145146010669448,0.145146010669448,"ENSG00000132744","ACY3"
"ADAM28",-0.897578035169712,0.897578035169711,0.382167555723562,0.382167555723563,0.73967914011012,0.739679140110121,-0.202218754658603,0.202218754658603,"ENSG00000042980","ADAM28"
"ADCYAP1",1.12876492874577,-1.12876492874577,0.274950348246262,0.274950348246262,0.676125627371041,0.676125627371041,0.192596184449358,-0.192596184449358,"ENSG00000141433","ADCYAP1"
"ADCYAP1R1",-0.206725612012479,0.206725612012478,0.83872343921179,0.83872343921179,0.938869521505735,0.938869521505735,-0.0227209834532468,0.0227209834532467,"ENSG00000078549","ADCYAP1R1"
"ADIRF",-1.06952848022961,1.06952848022961,0.30004613670483,0.300046136704831,0.676795797078564,0.676795797078567,-0.223763949645901,0.223763949645901,"ENSG00000148671","ADIRF"
"AIF1",-1.97426172419448,1.97426172419448,0.0651263051450314,0.0651263051450314,0.464801882857112,0.464801882857112,-0.408505974047758,0.408505974047758,"ENSG00000204472","AIF1"
"AJ009632.2",0.931607856657921,-0.931607856657922,0.364811449609461,0.364811449609461,0.729302422429485,0.729302422429486,0.109873116372536,-0.109873116372536,"ENSG00000229425","AJ009632.2"
"AK5",0.746288071079778,-0.746288071079777,0.465869200966257,0.465869200966258,0.775974405331058,0.775974405331058,0.0793096869417314,-0.0793096869417313,"ENSG00000154027","AK5"
"AKAP8L",-0.0222385421104538,0.0222385421104536,0.982521205685356,0.982521205685356,0.992445662308441,0.992445662308441,-0.00435721490997564,0.00435721490997561,"ENSG00000011243","AKAP8L"
"AKT1",-0.275694905757052,0.275694905757052,0.786164469211335,0.786164469211335,0.921286487357033,0.921286487357033,-0.0217703186135882,0.0217703186135882,"ENSG00000142208","AKT1"
"ALCAM",-0.181295168880848,0.181295168880849,0.858317846608917,0.858317846608916,0.939764065630201,0.9397640656302,-0.0212300213127264,0.0212300213127265,"ENSG00000170017","ALCAM"
"ALDH1A1",0.880101705297764,-0.880101705297765,0.39129262620414,0.39129262620414,0.740489977883306,0.740489977883307,0.168591925972944,-0.168591925972944,"ENSG00000165092","ALDH1A1"
"ALOX5AP",-0.369900685229069,0.369900685229069,0.716105212817494,0.716105212817494,0.89464814431695,0.89464814431695,-0.082627878691263,0.0826278786912631,"ENSG00000132965","ALOX5AP"
"ANLN",1.00283181321561,-1.00283181321561,0.330250972671249,0.330250972671249,0.700742243770845,0.700742243770846,0.201285126011155,-0.201285126011155,"ENSG00000011426","ANLN"
"APOLD1",-0.195316164594942,0.195316164594941,0.847501859920798,0.847501859920799,0.939764065630201,0.9397640656302,-0.0528157799013754,0.0528157799013751,"ENSG00000178878","APOLD1"
"AQP1",-3.32022323236808,3.32022323236807,0.00412882295946473,0.00412882295946475,0.351074436566836,0.351074436566834,-1.15610457502145,1.15610457502144,"ENSG00000240583","AQP1"
"AQP4",-1.95798277409495,1.95798277409495,0.067153102740521,0.067153102740521,0.464801882857112,0.464801882857112,-0.257167302401203,0.257167302401203,"ENSG00000171885","AQP4"
"ARPC1B",0.184993695396594,-0.184993695396595,0.855461836788963,0.855461836788963,0.939764065630201,0.9397640656302,0.0270972853378189,-0.027097285337819,"ENSG00000130429","ARPC1B"
"ARPP19",1.58983284062813,-1.58983284062813,0.130621714790812,0.130621714790812,0.578542738207887,0.578542738207888,0.273138494493272,-0.273138494493272,"ENSG00000128989","ARPP19"
