"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"A2M",0.504989121406453,-0.504989121406453,0.620647790111076,0.620647790111076,0.942763618821877,0.942763618821877,0.0758779849499065,-0.0758779849499065,"ENSG00000175899","A2M"
"ABCA2",0.351474039445178,-0.351474039445178,0.729949884101811,0.729949884101811,0.948489467132339,0.948489467132339,0.0267001666757885,-0.0267001666757885,"ENSG00000107331","ABCA2"
"ABCG2",1.02914259332344,-1.02914259332344,0.319155384183131,0.319155384183131,0.821343801368087,0.821343801368086,0.193472796819644,-0.193472796819644,"ENSG00000118777","ABCG2"
"ACO1",0.752858844219522,-0.752858844219521,0.462780824206583,0.462780824206583,0.875488479181147,0.875488479181148,0.0575372214452746,-0.0575372214452745,"ENSG00000122729","ACO1"
"ACTA2",0.218126517455836,-0.218126517455837,0.830167225300212,0.830167225300211,0.95965383620254,0.959653836202541,0.0273046390610425,-0.0273046390610426,"ENSG00000107796","ACTA2"
"ACY3",-0.10240051334371,0.102400513343712,0.919747638761071,0.91974763876107,0.964770250448676,0.964770250448675,-0.0179647601333638,0.0179647601333642,"ENSG00000132744","ACY3"
"ADAM28",-0.475689192771095,0.475689192771096,0.640909499892661,0.640909499892661,0.942763618821877,0.942763618821877,-0.10369015177951,0.10369015177951,"ENSG00000042980","ADAM28"
"ADCYAP1",-0.343691600317548,0.343691600317548,0.735681326180208,0.735681326180208,0.948489467132339,0.948489467132339,-0.0608618489054491,0.0608618489054493,"ENSG00000141433","ADCYAP1"
"ADCYAP1R1",-1.68584656116111,1.68584656116111,0.111781669667885,0.111781669667885,0.632726432082367,0.632726432082367,-0.128491914715061,0.128491914715061,"ENSG00000078549","ADCYAP1R1"
"ADIRF",-0.487539345890967,0.487539345890965,0.632678098500951,0.632678098500952,0.942763618821877,0.942763618821877,-0.0961097711811303,0.0961097711811301,"ENSG00000148671","ADIRF"
