"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"A2M",-0.00245634707323784,0.00245634707323655,0.998067618579473,0.998067618579474,0.999805094715931,0.999805094715931,-0.00032482873789435,0.00032482873789418,"ENSG00000175899","A2M"
"ABCA2",-0.224942625067837,0.224942625067838,0.824602744959236,0.824602744959236,0.941232995291041,0.94123299529104,-0.0245427083094763,0.0245427083094763,"ENSG00000107331","ABCA2"
"ABCG2",1.44614409604655,-1.44614409604655,0.165628465461662,0.165628465461662,0.72597569381061,0.725975693810611,0.234506536866242,-0.234506536866242,"ENSG00000118777","ABCG2"
"ACO1",0.671828677678541,-0.67182867767854,0.510375290330196,0.510375290330196,0.795777977341303,0.795777977341303,0.0806214435642808,-0.0806214435642808,"ENSG00000122729","ACO1"
"ACTA2",0.817537784572603,-0.817537784572603,0.424499845059031,0.424499845059031,0.7754482121768,0.7754482121768,0.114413019425607,-0.114413019425607,"ENSG00000107796","ACTA2"
"ACY3",-1.06943764811318,1.06943764811318,0.299253626927424,0.299253626927425,0.74524072107562,0.745240721075621,-0.258774375564619,0.258774375564619,"ENSG00000132744","ACY3"
"ADAM28",-1.07573105801514,1.07573105801514,0.296505864579415,0.296505864579415,0.74524072107562,0.745240721075621,-0.248514729421522,0.248514729421522,"ENSG00000042980","ADAM28"
"ADCYAP1",0.658085155256818,-0.658085155256818,0.518959539834799,0.518959539834799,0.795777977341303,0.795777977341303,0.15059371244374,-0.15059371244374,"ENSG00000141433","ADCYAP1"
"ADCYAP1R1",-0.894469422716677,0.894469422716676,0.383083833608771,0.383083833608772,0.74524072107562,0.745240721075621,-0.0901609941725328,0.0901609941725327,"ENSG00000078549","ADCYAP1R1"
"ADIRF",-1.01634437077348,1.01634437077348,0.323170062223443,0.323170062223443,0.74524072107562,0.745240721075621,-0.164936803429801,0.164936803429801,"ENSG00000148671","ADIRF"
"AIF1",0.137618899571521,-0.137618899571521,0.892096460548605,0.892096460548606,0.955152679717235,0.955152679717235,0.0254009553961926,-0.0254009553961926,"ENSG00000204472","AIF1"
"AJ009632.2",0.715922458067291,-0.71592245806729,0.483386650842341,0.483386650842342,0.788990207159172,0.788990207159173,0.203404213645024,-0.203404213645024,"ENSG00000229425","AJ009632.2"
"AK5",1.61616593320421,-1.61616593320421,0.123757703305188,0.123757703305188,0.715658733358314,0.715658733358312,0.272959718486412,-0.272959718486412,"ENSG00000154027","AK5"
"AKAP8L",0.139627064525995,-0.139627064525994,0.89053260532223,0.89053260532223,0.955152679717235,0.955152679717235,0.0178080221277376,-0.0178080221277375,"ENSG00000011243","AKAP8L"
"AKT1",-0.387803839929283,0.387803839929282,0.702789631669708,0.702789631669708,0.898549450323361,0.898549450323361,-0.0349256523048063,0.0349256523048063,"ENSG00000142208","AKT1"
"ALCAM",0.338310848116945,-0.338310848116945,0.739112420521769,0.739112420521769,0.920056955006352,0.920056955006352,0.0578051413277459,-0.0578051413277458,"ENSG00000170017","ALCAM"
"ALDH1A1",0.878345220239989,-0.878345220239989,0.391534802197582,0.391534802197582,0.74524072107562,0.745240721075621,0.127187923900476,-0.127187923900476,"ENSG00000165092","ALDH1A1"
"ALOX5AP",0.44673053230826,-0.44673053230826,0.660492334674507,0.660492334674507,0.87289735860067,0.87289735860067,0.0797458765757963,-0.0797458765757962,"ENSG00000132965","ALOX5AP"
"ANLN",0.970382853218589,-0.970382853218588,0.344942180916704,0.344942180916704,0.74524072107562,0.745240721075621,0.225599306537532,-0.225599306537532,"ENSG00000011426","ANLN"
"APOLD1",0.233789023252978,-0.233789023252978,0.817833866003284,0.817833866003284,0.941232995291041,0.94123299529104,0.0256650511509606,-0.0256650511509606,"ENSG00000178878","APOLD1"
"AQP1",-0.583021866823083,0.583021866823082,0.567239984812065,0.567239984812066,0.81813459347894,0.818134593478941,-0.0998661807285318,0.0998661807285317,"ENSG00000240583","AQP1"
"AQP4",-0.447621727568899,0.447621727568898,0.659861150304153,0.659861150304154,0.87289735860067,0.87289735860067,-0.0585982585602506,0.0585982585602505,"ENSG00000171885","AQP4"
"ARPC1B",0.726805044376348,-0.726805044376348,0.476857272437014,0.476857272437014,0.788990207159172,0.788990207159173,0.0950147705304063,-0.0950147705304064,"ENSG00000130429","ARPC1B"
"ARPP19",1.26452935819252,-1.26452935819252,0.222452691798482,0.222452691798482,0.72597569381061,0.725975693810611,0.253930770725731,-0.253930770725731,"ENSG00000128989","ARPP19"
"ARRDC3",-1.0988749595407,1.0988749595407,0.286558912172746,0.286558912172746,0.74524072107562,0.745240721075621,-0.180136091573074,0.180136091573074,"ENSG00000113369","ARRDC3"
"ATP2B4",1.07233452576892,-1.07233452576892,0.297986537192147,0.297986537192146,0.74524072107562,0.745240721075621,0.120931292759678,-0.120931292759678,"ENSG00000058668","ATP2B4"
"BAIAP3",-0.742205931151266,0.742205931151266,0.467707236223314,0.467707236223314,0.788990207159172,0.788990207159173,-0.144796851036252,0.144796851036252,"ENSG00000007516","BAIAP3"
"BCAS1",-2.15924865308067,2.15924865308067,0.0448286745061705,0.0448286745061705,0.560358431327132,0.560358431327132,-0.303572848201273,0.303572848201273,"ENSG00000064787","BCAS1"
"BCL6",0.368908289168453,-0.368908289168453,0.716575893438479,0.716575893438478,0.906732204474156,0.906732204474156,0.0495258777044001,-0.0495258777044002,"ENSG00000113916","BCL6"
"BDNF",2.19325820397732,-2.19325820397732,0.0419132020731389,0.041913202073139,0.560358431327132,0.560358431327132,0.456307987923657,-0.456307987923657,"ENSG00000176697","BDNF"
"BLCAP",1.64571278079717,-1.64571278079717,0.117479553938434,0.117479553938434,0.715658733358314,0.715658733358312,0.186212097700198,-0.186212097700199,"ENSG00000166619","BLCAP"
