"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"USP22",-1.16944656190916,1.16944656190916,0.25877970329968,0.25877970329968,0.781915019216498,0.781915019216499,-0.0873398912146045,0.0873398912146045,"ENSG00000124422","USP22"
"VAMP1",0.114161180055102,-0.114161180055101,0.910482562388581,0.910482562388582,0.979013507944711,0.979013507944712,0.0154017377751183,-0.0154017377751182,"ENSG00000139190","VAMP1"
"VGF",1.50701173055311,-1.5070117305531,0.150644145000629,0.150644145000629,0.701756464676482,0.701756464676482,0.371414335183314,-0.371414335183314,"ENSG00000128564","VGF"
"VIM",-1.19911302398373,1.19911302398373,0.247359645640992,0.247359645640992,0.7729988926281,0.7729988926281,-0.204817720335829,0.204817720335829,"ENSG00000026025","VIM"
"VIP",-0.897391518202621,0.897391518202621,0.382370243814054,0.382370243814054,0.800139615780116,0.800139615780117,-0.145525932885866,0.145525932885866,"ENSG00000146469","VIP"
"XRRA1",2.09396917969102,-2.09396917969102,0.0519742347431673,0.0519742347431673,0.54648176051193,0.546481760511928,0.341067318953915,-0.341067318953916,"ENSG00000166435","XRRA1"
"YWHAH",0.562660288547424,-0.562660288547424,0.581203437866046,0.581203437866046,0.859197391399379,0.85919739139938,0.0520007237159234,-0.0520007237159235,"ENSG00000128245","YWHAH"
"ZBTB16",-0.442811558590347,0.442811558590348,0.663631178199,0.663631178199,0.898231503300477,0.898231503300477,-0.0475311411861969,0.0475311411861969,"ENSG00000109906","ZBTB16"
"ZNF483",0.432759819069125,-0.432759819069124,0.670772045321943,0.670772045321943,0.902383917473466,0.902383917473466,0.0450995381235738,-0.0450995381235738,"ENSG00000173258","ZNF483"
"ZNF804A",1.74986598874069,-1.74986598874069,0.0986440550864767,0.0986440550864769,0.678211418294955,0.678211418294957,0.160047951027449,-0.160047951027449,"ENSG00000170396","ZNF804A"
"ZP3",-0.641382064906047,0.641382064906046,0.530051380936707,0.530051380936707,0.843008130676733,0.843008130676733,-0.0836116507575341,0.083611650757534,"ENSG00000188372","ZP3"
