"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"A2M",2.25846459949091,-2.25846459949091,0.0376214802695527,0.0376214802695527,0.433716181609218,0.433716181609216,0.489547599864644,-0.489547599864645,"ENSG00000175899","A2M"
"ABCA2",-0.343614416295586,0.343614416295586,0.73542932542898,0.73542932542898,0.953081554552493,0.953081554552494,-0.0264949805103264,0.0264949805103265,"ENSG00000107331","ABCA2"
"ABCG2",4.26836051323797,-4.26836051323797,0.000539733720032838,0.000539733720032839,0.0809600580049257,0.0809600580049259,0.595187288434401,-0.595187288434401,"ENSG00000118777","ABCG2"
"ACO1",0.274000834823903,-0.274000834823904,0.787448120642651,0.78744812064265,0.953081554552493,0.953081554552494,0.027741108894473,-0.0277411088944731,"ENSG00000122729","ACO1"
"ACTA2",0.342228331453017,-0.342228331453017,0.73645321561612,0.73645321561612,0.953081554552493,0.953081554552494,0.040661078803339,-0.040661078803339,"ENSG00000107796","ACTA2"
"ACY3",1.99220327919395,-1.99220327919395,0.0629776481706414,0.0629776481706414,0.487501593608454,0.487501593608454,0.97512858509664,-0.97512858509664,"ENSG00000132744","ACY3"
"ADAM28",0.859225757665029,-0.859225757665028,0.402395606966093,0.402395606966093,0.79420185585413,0.794201855854131,0.192045039504582,-0.192045039504582,"ENSG00000042980","ADAM28"
"ADCYAP1",0.234982889826667,-0.234982889826666,0.817082402927647,0.817082402927648,0.953081554552493,0.953081554552494,0.0445617959958299,-0.0445617959958297,"ENSG00000141433","ADCYAP1"
"ADCYAP1R1",-0.174086592046229,0.174086592046228,0.863892720789567,0.863892720789568,0.953081554552493,0.953081554552494,-0.0182646636933521,0.018264663693352,"ENSG00000078549","ADCYAP1R1"
"ADIRF",-1.01787152784687,1.01787152784687,0.323276246654471,0.323276246654471,0.709975701814634,0.709975701814635,-0.160277667775062,0.160277667775062,"ENSG00000148671","ADIRF"
"AIF1",-0.183473741904343,0.183473741904342,0.856638053809357,0.856638053809357,0.953081554552493,0.953081554552494,-0.0276724907705074,0.0276724907705074,"ENSG00000204472","AIF1"
"AJ009632.2",-0.811335131174474,0.811335131174474,0.428599111526738,0.428599111526738,0.808521698826328,0.808521698826328,-0.220190599669743,0.220190599669744,"ENSG00000229425","AJ009632.2"
"AK5",1.09169658078596,-1.09169658078596,0.290484489461471,0.290484489461471,0.686183833373554,0.686183833373554,0.138306725454504,-0.138306725454504,"ENSG00000154027","AK5"
"AKAP8L",1.12198506533027,-1.12198506533027,0.277760665697096,0.277760665697096,0.67200161055749,0.67200161055749,0.131971126312082,-0.131971126312082,"ENSG00000011243","AKAP8L"
"AKT1",0.133420594275174,-0.133420594275174,0.89545717504709,0.895457175047089,0.956004101473761,0.956004101473761,0.0122118708990723,-0.0122118708990723,"ENSG00000142208","AKT1"
"ALCAM",0.39124460842996,-0.391244608429959,0.700568901303603,0.700568901303604,0.945623035831004,0.945623035831004,0.0424793758727149,-0.0424793758727148,"ENSG00000170017","ALCAM"
"ALDH1A1",1.0641711104199,-1.0641711104199,0.302414436499973,0.302414436499973,0.703289387209239,0.70328938720924,0.162294540018558,-0.162294540018558,"ENSG00000165092","ALDH1A1"
"ALOX5AP",1.44123104107662,-1.44123104107662,0.168029149567037,0.168029149567038,0.610428226440249,0.610428226440249,0.279747594657693,-0.279747594657693,"ENSG00000132965","ALOX5AP"
"ANLN",1.13071022587949,-1.13071022587949,0.274173270827095,0.274173270827096,0.67200161055749,0.67200161055749,0.232679663671309,-0.232679663671309,"ENSG00000011426","ANLN"
"APOLD1",0.0697186068246491,-0.0697186068246491,0.945246627179936,0.945246627179936,0.974481058948388,0.974481058948388,0.0202733629055907,-0.0202733629055908,"ENSG00000178878","APOLD1"
"AQP1",-2.74750407526872,2.74750407526871,0.0139126853825412,0.0139126853825413,0.27392660175102,0.273926601751021,-0.881074524950349,0.881074524950349,"ENSG00000240583","AQP1"
"AQP4",-1.18411833047435,1.18411833047435,0.252965744710603,0.252965744710604,0.661388749150546,0.661388749150546,-0.177746517476623,0.177746517476622,"ENSG00000171885","AQP4"
"ARPC1B",0.658468824508641,-0.658468824508642,0.519222971736979,0.519222971736978,0.861824171603808,0.861824171603808,0.110838544974518,-0.110838544974518,"ENSG00000130429","ARPC1B"
"ARPP19",2.15412614020283,-2.15412614020283,0.0461598708602749,0.0461598708602749,0.433716181609218,0.433716181609216,0.27839180395208,-0.27839180395208,"ENSG00000128989","ARPP19"
"ARRDC3",-0.158870604321802,0.158870604321802,0.875678465566904,0.875678465566905,0.953081554552493,0.953081554552494,-0.0329131462232153,0.0329131462232153,"ENSG00000113369","ARRDC3"
"ATP2B4",-0.304099666478586,0.304099666478585,0.764812799351572,0.764812799351572,0.953081554552493,0.953081554552494,-0.0253414390559437,0.0253414390559437,"ENSG00000058668","ATP2B4"
"BAIAP3",-0.757755334220001,0.757755334220001,0.459169574512706,0.459169574512706,0.82443842034364,0.82443842034364,-0.140163974457528,0.140163974457528,"ENSG00000007516","BAIAP3"
"BCAS1",-2.90122149250284,2.90122149250284,0.0100822029480105,0.0100822029480105,0.27392660175102,0.273926601751021,-0.535710357549732,0.535710357549732,"ENSG00000064787","BCAS1"
"BCL6",-0.52014918735642,0.520149187356418,0.609794427241487,0.609794427241489,0.914691640862231,0.914691640862233,-0.0948321198764317,0.0948321198764314,"ENSG00000113916","BCL6"
"BDNF",-0.178280829088616,0.178280829088616,0.860649700004113,0.860649700004113,0.953081554552493,0.953081554552494,-0.0411532107947852,0.0411532107947852,"ENSG00000176697","BDNF"
"BLCAP",1.28396652169366,-1.28396652169366,0.216702469851132,0.216702469851132,0.655673146733045,0.655673146733044,0.143828424279317,-0.143828424279317,"ENSG00000166619","BLCAP"
"C14orf132",0.623616553638215,-0.623616553638215,0.541314063646467,0.541314063646467,0.870937751494599,0.8709377514946,0.0592059193965499,-0.0592059193965499,"ENSG00000227051","C14orf132"
"C1QA",-0.052074839151794,0.052074839151795,0.959087608134491,0.959087608134491,0.979145712670482,0.979145712670482,-0.0100903046453532,0.0100903046453534,"ENSG00000173372","C1QA"
"C1QB",-0.318918168579436,0.318918168579435,0.753747440189285,0.753747440189286,0.953081554552493,0.953081554552494,-0.0786085861193955,0.0786085861193953,"ENSG00000173369","C1QB"
"C1QL2",2.13713172202497,-2.13713172202497,0.047708779977014,0.0477087799770138,0.433716181609218,0.433716181609216,0.242202861549116,-0.242202861549116,"ENSG00000144119","C1QL2"
"C1orf61",0.329617964386353,-0.329617964386353,0.745791662309384,0.745791662309384,0.953081554552493,0.953081554552494,0.0546601394410035,-0.0546601394410036,"ENSG00000125462","C1orf61"
"C3",1.0514837349617,-1.0514837349617,0.30803168675085,0.30803168675085,0.709516142983386,0.709516142983387,0.206738446350611,-0.206738446350611,"ENSG00000125730","C3"
"C4A",-1.17695172543579,1.17695172543579,0.255736983004878,0.255736983004878,0.661388749150546,0.661388749150546,-0.345873263557211,0.345873263557212,"ENSG00000244731","C4A"
"CABP1",1.47933656346749,-1.4793365634675,0.157687885322094,0.157687885322094,0.610428226440249,0.610428226440249,0.177087828322902,-0.177087828322903,"ENSG00000157782","CABP1"
"CACNA1C",-0.0141292461796171,0.0141292461796166,0.988894487317436,0.988894487317436,0.995531363071244,0.995531363071244,-0.00134440312831275,0.00134440312831271,"ENSG00000151067","CACNA1C"
"CALB1",0.0976808242769973,-0.0976808242769975,0.92334988213228,0.923349882132279,0.962514823876381,0.962514823876381,0.0166649892836566,-0.0166649892836566,"ENSG00000104327","CALB1"
"CALB2",-1.70555544679954,1.70555544679954,0.106640358286453,0.106640358286454,0.569005344195007,0.56900534419501,-0.222421183008567,0.222421183008567,"ENSG00000172137","CALB2"
"CAMK2N1",1.3961468226153,-1.39614682261531,0.180975135684967,0.180975135684967,0.616960689835116,0.616960689835115,0.129857923122748,-0.129857923122748,"ENSG00000162545","CAMK2N1"
"CAPN3",1.03696415674883,-1.03696415674883,0.314552156722634,0.314552156722635,0.709516142983386,0.709516142983387,0.1716760874868,-0.1716760874868,"ENSG00000092529","CAPN3"
"CAPZB",0.652706629717738,-0.652706629717738,0.522839997439644,0.522839997439644,0.861824171603808,0.861824171603808,0.0733982813052743,-0.0733982813052743,"ENSG00000077549","CAPZB"
"CARTPT",0.997645642551361,-0.997645642551361,0.332704525113996,0.332704525113996,0.718067320389919,0.718067320389919,0.235634327994358,-0.235634327994358,"ENSG00000164326","CARTPT"
"CASC3",-0.700673197849246,0.700673197849245,0.493165791041156,0.493165791041156,0.845427070356268,0.845427070356268,-0.0535113853567638,0.0535113853567637,"ENSG00000108349","CASC3"
"CCK",0.588906561543226,-0.588906561543226,0.563814817567373,0.563814817567373,0.883420370733562,0.883420370733563,0.0897474769589545,-0.0897474769589545,"ENSG00000187094","CCK"
"CCNI",0.965709184748965,-0.965709184748965,0.347983201462197,0.347983201462197,0.720863368089612,0.720863368089612,0.10710294320496,-0.10710294320496,"ENSG00000118816","CCNI"
"CD52",0.107648515796258,-0.107648515796259,0.915558716071175,0.915558716071174,0.962514823876381,0.962514823876381,0.0314406199368901,-0.0314406199368904,"ENSG00000169442","CD52"
"CD53",1.35941212541071,-1.35941212541071,0.192111414865911,0.192111414865911,0.626450265867101,0.626450265867101,0.178159842543752,-0.178159842543752,"ENSG00000143119","CD53"
"CD68",0.718095276472995,-0.718095276472996,0.482635990529129,0.482635990529129,0.835940781720554,0.835940781720554,0.0764036239192625,-0.0764036239192625,"ENSG00000129226","CD68"
"CD74",-0.212680424382946,0.212680424382946,0.834153629386854,0.834153629386854,0.953081554552493,0.953081554552494,-0.0325266294824349,0.0325266294824349,"ENSG00000019582","CD74"
"CFAP36",0.867069097167988,-0.867069097167988,0.398205969978743,0.398205969978743,0.79420185585413,0.794201855854131,0.0939154899277647,-0.0939154899277647,"ENSG00000163001","CFAP36"
"CHI3L1",-1.67911640125232,1.67911640125232,0.111761371029021,0.111761371029021,0.569005344195007,0.56900534419501,-0.612495279583295,0.612495279583295,"ENSG00000133048","CHI3L1"
"CHST1",-0.478372981178234,0.478372981178235,0.63859449953632,0.63859449953632,0.917913976582698,0.917913976582698,-0.0467022165153116,0.0467022165153116,"ENSG00000175264","CHST1"
"CLDN11",0.90518282587171,-0.905182825871709,0.378257572197662,0.378257572197663,0.777241586707525,0.777241586707526,0.277765746055946,-0.277765746055945,"ENSG00000013297","CLDN11"
"CLDN5",1.25209656599362,-1.25209656599362,0.227807337384507,0.227807337384507,0.655673146733045,0.655673146733044,0.196793520627189,-0.196793520627189,"ENSG00000184113","CLDN5"
"CLDND1",0.281183199446924,-0.281183199446924,0.782028031731945,0.782028031731945,0.953081554552493,0.953081554552494,0.0344329528811239,-0.0344329528811239,"ENSG00000080822","CLDND1"
"CNDP1",0.822561612656398,-0.822561612656397,0.4223609272252,0.4223609272252,0.808521698826328,0.808521698826328,0.187948312222917,-0.187948312222917,"ENSG00000150656","CNDP1"
"CNN3",-0.153257254758605,0.153257254758604,0.880034132206167,0.880034132206167,0.953081554552493,0.953081554552494,-0.0268780116494589,0.0268780116494588,"ENSG00000117519","CNN3"
