"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"A2M",1.24283428058243,-1.24283428058243,0.233052370731155,0.233052370731156,0.861498391677128,0.861498391677129,0.340413738151327,-0.340413738151327,"ENSG00000175899","A2M"
"ABCA2",0.281737919300332,-0.281737919300331,0.782003517001458,0.782003517001458,0.934393615077742,0.934393615077743,0.0289818950550683,-0.0289818950550683,"ENSG00000107331","ABCA2"
"ABCG2",-0.518054217906444,0.518054217906444,0.611995190008221,0.611995190008221,0.885278950388728,0.885278950388728,-0.180346025012491,0.180346025012491,"ENSG00000118777","ABCG2"
"ACO1",1.29909825482699,-1.29909825482699,0.213571741961582,0.213571741961582,0.861498391677128,0.861498391677129,0.147839104863904,-0.147839104863904,"ENSG00000122729","ACO1"
"ACTA2",0.652816828578696,-0.652816828578697,0.5237782337046,0.523778233704599,0.87649607976326,0.87649607976326,0.0842539451247815,-0.0842539451247816,"ENSG00000107796","ACTA2"
"ACY3",-0.119556693816308,0.119556693816308,0.906424731647804,0.906424731647804,0.969808865554929,0.969808865554928,-0.043588475590432,0.0435884755904319,"ENSG00000132744","ACY3"
"ADAM28",-0.786660770912201,0.786660770912201,0.443761580964944,0.443761580964944,0.865045605259365,0.865045605259366,-0.167024359110057,0.167024359110057,"ENSG00000042980","ADAM28"
"ADCYAP1",0.114474324395235,-0.114474324395235,0.910383724144033,0.910383724144033,0.969808865554929,0.969808865554928,0.033156694185122,-0.0331566941851219,"ENSG00000141433","ADCYAP1"
"ADCYAP1R1",-0.556343477760923,0.556343477760922,0.586200408329794,0.586200408329795,0.87649607976326,0.87649607976326,-0.0878685960354742,0.0878685960354741,"ENSG00000078549","ADCYAP1R1"
"ADIRF",-1.72349686049349,1.72349686049349,0.105392224888723,0.105392224888723,0.861498391677128,0.861498391677129,-0.934154731127966,0.934154731127966,"ENSG00000148671","ADIRF"
"AIF1",0.625001335336123,-0.625001335336122,0.541384659195503,0.541384659195503,0.87649607976326,0.87649607976326,0.363339478024986,-0.363339478024986,"ENSG00000204472","AIF1"
"AJ009632.2",-0.00135023231892075,0.00135023231892217,0.998940507543118,0.998940507543117,0.998940507543118,0.998940507543117,-0.000454887382314352,0.000454887382314832,"ENSG00000229425","AJ009632.2"
"AK5",1.58010371080171,-1.58010371080171,0.134985975485961,0.134985975485961,0.861498391677128,0.861498391677129,0.234759150706774,-0.234759150706774,"ENSG00000154027","AK5"
