"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"A2M",1.12523476642167,-1.12523476642167,0.277059434798879,0.277059434798879,0.670724568263552,0.670724568263553,0.152429882916877,-0.152429882916877,"ENSG00000175899","A2M"
"ABCA2",0.523517291717217,-0.523517291717218,0.607778040493389,0.607778040493389,0.874757571029411,0.874757571029411,0.035463385933557,-0.035463385933557,"ENSG00000107331","ABCA2"
"ABCG2",2.24753619502166,-2.24753619502166,0.039035817647805,0.0390358176478049,0.431461912074016,0.431461912074017,0.325652069169511,-0.325652069169511,"ENSG00000118777","ABCG2"
"ACO1",0.939019867806823,-0.939019867806822,0.361658315430878,0.361658315430878,0.765512683587694,0.765512683587695,0.0743537344029086,-0.0743537344029086,"ENSG00000122729","ACO1"
"ACTA2",-0.12210515339805,0.122105153398049,0.904333734407683,0.904333734407684,0.956573408735823,0.956573408735824,-0.0144700527002287,0.0144700527002287,"ENSG00000107796","ACTA2"
"ACY3",-0.240323049961598,0.240323049961596,0.813126884018073,0.813126884018074,0.949175350993859,0.949175350993861,-0.0418164857861604,0.0418164857861601,"ENSG00000132744","ACY3"
"ADAM28",-0.836215620812619,0.836215620812619,0.415327931632912,0.415327931632912,0.802383379173574,0.802383379173574,-0.19333470858105,0.19333470858105,"ENSG00000042980","ADAM28"
"ADCYAP1",0.112359950805181,-0.11235995080518,0.911933316328151,0.911933316328152,0.956573408735823,0.956573408735824,0.0202707577015811,-0.0202707577015809,"ENSG00000141433","ADCYAP1"
"ADCYAP1R1",0.0711804996051416,-0.0711804996051417,0.944134791658112,0.944134791658112,0.97333483676094,0.97333483676094,0.00427945969431375,-0.00427945969431376,"ENSG00000078549","ADCYAP1R1"
"ADIRF",-0.990756204829396,0.990756204829394,0.336528219043824,0.336528219043825,0.736335069243929,0.736335069243929,-0.157395745915903,0.157395745915902,"ENSG00000148671","ADIRF"
"AIF1",-1.23557773753486,1.23557773753486,0.234421467489126,0.234421467489126,0.634094359558639,0.634094359558638,-0.258438587473655,0.258438587473655,"ENSG00000204472","AIF1"
"AJ009632.2",-0.121352074248002,0.121352074248002,0.904920674262594,0.904920674262593,0.956573408735823,0.956573408735824,-0.0181455882408561,0.0181455882408562,"ENSG00000229425","AJ009632.2"
"AK5",1.99888689262614,-1.99888689262614,0.0628741382230212,0.0628741382230213,0.431461912074016,0.431461912074017,0.174189036601653,-0.174189036601653,"ENSG00000154027","AK5"
